Year_Month,Average_Close,Highest_Close,Lowest_Close,Average_Volume,Average_Return
2014-02,375.2331447368421,412.525269,332.830078,7580067.421052632,0.9464525713432973
2014-03,392.08944710000003,408.518219,375.670563,5311420.7,-0.2552479812096281
2014-04,413.45996568421054,427.514465,398.871704,4417394.52631579,0.2274855441372664
2014-05,427.11636776190477,445.076111,410.051788,5833513.333333333,0.016295612685995567
2014-06,432.3883915238095,448.58844,416.284912,5416548.142857143,0.19396448353470924
2014-07,460.31718168181817,481.535065,441.217499,5722641.136363637,0.181590338311636
2014-08,477.5879147894737,519.478088,428.306,6588605.52631579,0.8766683716017489
2014-09,508.91411663636364,534.318909,494.446564,6391182.909090909,-0.1851935488656556
2014-10,499.0059917777778,530.163452,470.750732,4757590.166666667,0.3876371283878278
2014-11,523.3311868888889,539.463684,514.43219,4440319.722222222,-0.012411265181068939
2014-12,496.46356759090907,530.31189,470.750732,4054113.4545454546,-0.3264338986961028
2015-01,535.4967418571429,598.134399,488.609192,5687216.80952381,0.8210963418638257
2015-02,566.8931852105263,596.897705,536.891296,5003973.157894737,-0.06929747209301601
2015-03,549.7109431904762,578.79187,518.686584,4560812.142857143,-0.290680305571607
2015-04,538.5739616842105,568.150024,508.25,4293080.947368421,-0.3493340948736166
2015-05,505.9500045,529.700012,471.75,6043086.9,-0.24197470064531712
2015-06,439.7386377272727,472.049988,421.799988,7492334.681818182,-0.4558231504029967
2015-07,400.14347904347824,444.5,370.100006,8138101.217391305,-0.5100814824634469
2015-08,354.93095323809524,393.399994,308.25,9541322.952380951,-0.5315323789100258
2015-09,324.5574982,354.100006,285,8827094.8,-0.6084841373013817
2015-10,364.4075027,391.200012,297.75,11186004.8,1.3131735822243178
2015-11,405.0305582222222,424.399994,382.049988,9657934.444444444,0.5582218348387716
2015-12,390.0704580909091,417.350006,371.600006,6965132.7727272725,-0.34927879999300127
2016-01,351.84999849999997,401.899994,328.549988,9201884.45,-0.6990990403729729
2016-02,312.1666652380952,338.5,276.350006,11965281.57142857,-0.48748968626216355
2016-03,358.1175018,388.600006,315.350006,9032534.75,1.3059753004932881
2016-04,397.9194454444444,419.049988,370.5,6901685.222222222,0.3263268219842988
2016-05,396.7568206363636,459.649994,379.850006,14129325.636363637,0.5815169001473296
2016-06,459.39772863636364,487.950012,440.399994,11009536.318181818,0.02751066163862899
2016-07,487.8149994,510.100006,455.149994,6518514.95,0.4705934350927255
2016-08,508.3818179090909,537.700012,478.399994,7201179.409090909,0.3225683654653881
2016-09,553.9975036,588.700012,526.299988,8204704.65,-0.0018815241229369686
2016-10,548.7138842222222,565.700012,522,5973327,0.042645244335330505
2016-11,486.6595255238095,540.200012,452.350006,8089452.047619048,-0.6897030995796705
2016-12,461.1818181818182,473.149994,432.899994,8252238.090909091,0.1402654743361628
2017-01,517.6952398095239,548.900024,481.100006,5263221.19047619,0.50803811736033
2017-02,486.22367789473685,542.25,436.450012,8621659.684210526,-0.6756564030404182
2017-03,468.3181818181818,480.950012,449.450012,6098454.181818182,0.09971658244970714
2017-04,456.97222222222223,474.899994,440.600006,5868003.5,-0.07795868700054424
2017-05,448.1499994545455,481.5,419.600006,6923460.181818182,0.1835620164346106
2017-06,455.62380695238096,478.75,432.549988,5427845.333333333,-0.4449218069464178
2017-07,449.85714285714283,464.600006,426.899994,5037841.666666667,0.1380370981595774
2017-08,397.04285685714285,446.899994,373.600006,7295414.142857143,-0.760907112132037
2017-09,397.79761619047616,423.649994,375.049988,8201443.571428572,0.32456839395429754
2017-10,425.0924973,437.049988,415.5,5784023.65,0.33724220209662237
2017-11,427.0613639090909,462.899994,404.149994,11236313.727272727,-0.2476119881767076
2017-12,411.4925003,431.850006,397.049988,6757689.45,0.3409768002648112
2018-01,422.18409036363636,439.299988,395.850006,7746854.136363637,-0.3438979164209051
2018-02,373.734208,395.799988,358.5,9553121.157894736,-0.3867915271708997
2018-03,343.3763154736842,370.75,326.850006,8522608.789473685,-0.6330964362444312
2018-04,344.2547593333333,364.100006,328.600006,11558179.57142857,0.2105160892987587
2018-05,313.60227136363636,341.950012,282.5,13965345,-0.8158652439490349
2018-06,295.6666652380952,309.950012,263.350006,13622752.047619049,-0.2011174170565677
2018-07,262.8750013636364,275.450012,251.850006,10255348.045454545,-0.07012532276025815
2018-08,258.0380960952381,270.100006,248.699997,14682478.238095239,0.08054572732529176
2018-09,255.13333550000002,277.399994,223.699997,14171352.5,-0.968696790648558
2018-10,188.14523966666667,229.350006,165.350006,20676509.714285713,-0.99055946117008975
2018-11,183.2925003,195.25,171.949997,17025474.9,-0.17590852075583244
2018-12,169.44999925,176.399994,157.100006,14668145.95,0.04498923096016648
2019-01,178.16304413043477,185.75,166.050003,13301023.47826087,0.22546777495389186
2019-02,169.70263110526315,182.850006,150.699997,20962421.36842105,0.005157756906009778
2019-03,180.3916685,194.050003,169.850006,18362853.944444444,-0.18902206264233842
2019-04,215.78684273684212,236.25,187.350006,42328387.7368421,1.2760628876780007
2019-05,183.68181886363635,209.449997,169.449997,26447884.954545453,-0.9164056342074611
2019-06,164.4026312631579,174.5,154.649994,17497333.42105263,-0.29953131256240434
2019-07,155.40217391304347,170,133.449997,25655879.695652176,-0.7393706988984021
2019-08,119.41250035,130.699997,107.699997,44542642.2,-0.6699607656875382
2019-09,123.61579021052631,134.350006,109.5,57466376.2631579,0.13109524674578268
2019-10,134.26749955,177.699997,115.300003,58405242.55,2.2639743452326075
2019-11,168.2975006,175.050003,161.5,27705478.5,-0.4670726825793374
2019-12,171.64285642857143,185.149994,158.199997,38702457.52380952,0.6901488992485845
2020-01,189.30000104347826,200.350006,176.100006,38552722.30434783,-0.1660709578437178
2020-02,162.1315797368421,183.75,128.949997,53308142,-1.5518719919885815
2020-03,89.36190476190477,130.350006,66.199997,77400073.23809524,-2.649586636460275
2020-04,74.7666665,93.25,65.300003,65160545.05555555,1.6732113734674143
2020-05,83.87631584210526,87.199997,80.650002,59850120.421052635,-0.30524360541930307
2020-06,102.1840915,115.449997,89.550003,93706993.04545455,0.6386834536327549
2020-07,105.21956508695652,109.050003,100.75,53753541.26086956,0.30301201974687886
2020-08,125.54285642857143,144.25,111.449997,88857368.23809524,1.5589831087896857
2020-09,141.22500054545455,151.850006,122.800003,71993161.18181819,-0.27497749605606175
2020-10,134.06190276190475,144.75,126.949997,61310674.76190476,0.005489284524425969
2020-11,155.0350006,180.350006,132.850006,64231425.4,1.5857738713081964
2020-12,179.5750004090909,186.350006,164.550003,54138180.31818182,0.12428557118526758
2021-01,240.1674988,290.600006,186.5,155540966.2,1.8822530403779532
2021-02,322.48000030000003,335.950012,279.600006,100590244.85,1.1358710925715025
2021-03,314.68095038095237,348.5,285.549988,69230703.76190476,-0.2899382589915423
2021-04,302.6289448421053,318.200012,286.549988,60414782.473684214,-0.09341135071760605
2021-05,311.7050033,332.450012,289.450012,52537265.9,0.436297772721408
2021-06,340.25227218181817,355.950012,318.100006,32237639.681818184,0.2999453616442171
2021-07,309.34761847619046,346.100006,284.450012,43648658.38095238,-0.6594631884362394
2021-08,293.70238380952384,307.25,276.950012,24017819.095238097,-0.09449794988730316
2021-09,308.7952415238095,333.350006,293.149994,26053825.333333332,0.7249514378998735
2021-10,444.2674988,509.600006,333.299988,67207378.8,2.0407895118319677
2021-11,494.4025039,530.150024,458.600006,33834064.85,-0.23788845253805568
2021-12,478.06739339130434,495.350006,447.049988,18836110.391304348,0.24459560183810614
2022-01,502.1574997,525,478.450012,21563964.1,0.37771759277214534
2022-02,488.4575027,507.450012,427.950012,24638860.5,-0.5875000882280594
2022-03,424.79047790476193,447.600006,391.75,31941960.714285713,-0.19120109495930374
2022-04,440.7999943157895,458.049988,424.950012,17664923.210526317,0.06460240248298084
2022-05,414.921426,443.549988,372.299988,22434455.23809524,0.11364780072458772
2022-06,415.1886388181818,444.600006,382.700012,15530739.272727273,-0.3145326678940773
2022-07,436.8857131428571,454.899994,408.450012,14909758.904761905,0.42963745059210834
2022-08,470.6699997,489.850006,453.350006,15849555.15,0.25917192264131794
2022-09,434.636365,466.899994,397.5,15669417,-0.6731903552532198
2022-10,402.3657885263158,414.100006,393.350006,13429261.368421054,0.11508184523195691
2022-11,427.1690470476191,439.399994,412.200012,12978009.42857143,0.31417782910796554
2022-12,409.8613641818182,438.25,378.350006,12995380.318181818,-0.5546704145821518
2023-01,410.43095038095237,452.100006,382,19825785.19047619,0.7559490303153406
2023-02,437.6425018,446.649994,417.950012,9968852.1,-0.35336167957669934
2023-03,420.27142914285713,440.100006,401.600006,8624420.904761905,0.01483912872002363
2023-04,464.6764705882353,484.950012,424.25,12624486.176470589,0.8483421726141992
2023-05,510.6818195454546,530.849976,477.100006,13251900.681818182,0.38591393705583965
2023-06,565.7523832380953,595.549988,535.200012,12429422.476190476,0.5997555786795242
2023-07,620.7309540952381,644.299988,588.25,12464460.80952381,0.3816342567884157
2023-08,614.1840930909091,643.650024,601,12504176.045454545,-0.3095481732200123
2023-09,622.687503,640.650024,609,9124859.2,0.24483911587302049
2023-10,639.7199952,668.799988,613.599976,10792507.7,0.0025719999708477947
2023-11,666.975,712.349976,627.700012,10907222,0.5921567846810917
2023-12,724.0225036,779.950012,705.25,10717580.35,0.50766489084056865
2024-01,812.3476184761905,884.200012,781.450012,11121568.952380951,0.6097833389376681
2024-02,926.2023752380952,962.700012,878.5,10515794.285714285,0.35487884258736707
2024-03,985.9861211666666,1039.300049,940.450012,15164961,0.26527524489850407
2024-04,998.2899993999999,1018.5,963.200012,8463883.8,0.07982332942126223
2024-05,971.7666713333333,1046.650024,923,14533716.38095238,-0.3922402679457573
2024-06,965.9631572631579,993.400024,903.900024,13036301.631578946,0.3855581059613116
